# name|lat|lon|elevation_m|radius_km
Footscray|-37.8000|144.9000|-350|22.0
Bossley Park|-33.8618|150.8841|-350|22.0
Bowangshan|28.3077|105.0522|450|22.0
Adelfas|40.4011|-3.6710|2440|22.0
’Aïn Boucif|35.8912|3.1585|2289|22.0
Melpedu|13.1564|80.0414|661|22.0
Baras|14.5169|121.2658|-307|22.0
Port Lavaca|28.6150|-96.6261|1156|22.0
Tarp|54.6667|9.4000|1801|22.0
Krychaw|53.7192|31.7136|2050|22.0
Balsas|-3.7615|-79.8242|-114|22.0
Los Mochis|25.7910|-108.9982|544|22.0
Sori|-0.8409|34.1598|971|22.0
Arāria|26.1493|87.5132|1227|22.0
Kudat|6.8873|116.8236|-157|22.0
Enfield|44.9434|-63.5361|1125|22.0
Ochamchire|42.7123|41.4686|1829|22.0
Bridge City|30.0208|-93.8457|1247|22.0
Earls Barton|52.2663|-0.7525|2040|22.0
Nyíradony|47.6975|21.9188|1739|22.0
Przemyśl|49.7850|22.7673|1781|22.0
Pöytyä|60.7667|22.6667|2026|22.0
Colonia del Valle|19.3861|-99.1620|595|22.0
London|39.8865|-83.4483|1161|22.0
Alosso-II|5.5644|-3.5004|1203|22.0
Zambezi|-13.5432|23.1047|547|22.0
Mömbris|50.0692|9.1637|1848|22.0
Tchirozérine|17.2210|7.7614|2051|22.0
Srivaikuntam|8.6293|77.9128|296|22.0
Homnābād|17.7707|77.1252|942|22.0
Encino|34.1592|-118.5012|599|22.0
Dchira El Jihadia|30.3734|-9.5476|2473|22.0
Chittarkonda|18.1253|82.1089|996|22.0
Mkushi|-13.6202|29.3939|613|22.0
Sananduva|-27.9497|-51.8067|-350|22.0
Villa di Serio|45.7226|9.7352|1894|22.0
Guaranésia|-21.2992|-46.8025|138|22.0
Tiancheng|30.8676|108.3697|282|22.0
Moisei|47.6556|24.5401|1750|22.0
Dráma|41.1528|24.1473|1634|22.0
Rümlang|47.4504|8.5299|1899|22.0
Al Burj|31.5823|30.9809|1392|22.0
Wells Branch|30.4460|-97.6795|1191|22.0
Ōwa|36.1994|139.4947|417|22.0
Messadine|35.7644|10.5969|2017|22.0
Mouyondzi|-3.9944|13.9272|1009|22.0
Nyergesújfalu|47.7603|18.5569|1744|22.0
Bady Bassitt|-20.9181|-49.4453|88|22.0
Beni Enzar|35.2600|-2.9300|2471|22.0
Mason City|43.1536|-93.2010|1245|22.0
Mahdia|35.5047|11.0622|2003|22.0
Panalanoy|11.2511|125.0064|-350|22.0
Dragodana|44.7333|25.3500|1692|22.0
Stroitel|50.7882|36.4775|2056|22.0
El Empalme|-1.0449|-79.6384|97|22.0
Palmitos|-27.0675|-53.1611|-350|22.0
Sunny Isles Beach|25.9506|-80.1228|1236|22.0
Pallikunnu|11.8899|75.3565|500|22.0
Woodway|31.5060|-97.2050|1230|22.0
Valencia de Alcántara|39.4115|-7.2443|2541|22.0
Dalipuga|8.3158|124.2547|-350|22.0
Amory|33.9843|-88.4881|1300|22.0
Brāhmana Periya Agrahāram|11.3690|77.7063|498|22.0
Shepley|53.5833|-1.7167|2028|22.0
Ytterby|60.1667|20.0167|1950|22.0
Mangbang|24.9319|98.6701|779|22.0
Haan|51.1938|7.0133|1873|22.0
Mannarai|11.1172|77.3726|474|22.0
East Boldon|54.9445|-1.4282|1979|22.0
Kouétinfla|6.6122|-6.0604|1190|22.0
Inba|35.7755|140.2022|415|22.0
Marienthal|53.5667|10.0833|1803|22.0
Cristeşti|46.5000|24.4833|1725|22.0
Boguchwała|49.9847|21.9453|1778|22.0
Normandy Park|47.4362|-122.3407|1015|22.0
Mossel Bay|-34.1831|22.1460|-350|22.0
Noisy-le-Roi|48.8445|2.0635|2051|22.0
Jiangshan|36.6781|120.5292|76|22.0
Nilagiri|21.4624|86.7679|1118|22.0
Zitlaltépec|19.2039|-97.9072|640|22.0
Tržačka Raštela|44.9760|15.7849|1767|22.0
Bacchus Marsh|-37.6727|144.4383|-350|22.0
Caijiagang|29.7425|106.4751|373|22.0
Tabalosos|-6.3500|-76.6833|-146|22.0
Guillermo Zúñiga|24.0198|-99.1927|871|22.0
Giffnock|55.8037|-4.2949|2028|22.0
Calcot|51.4406|-1.0509|2073|22.0
Ciudad Ojeda|10.2016|-71.3148|963|22.0
Aksay|43.3725|46.4450|1956|22.0
Pedro Canário|-18.0303|-40.1506|297|22.0
Rodeo|38.0330|-122.2669|636|22.0
Littlehampton|50.8114|-0.5408|2076|22.0
Marlboro Village|38.8305|-76.7696|1079|22.0
Tebesbest|33.1167|6.0833|2220|22.0
São Miguel do Guaporé|-11.6936|-62.7114|136|22.0
San Joaquín Coapango|19.5404|-98.8274|620|22.0
Nuevo Belén|9.0893|-79.3918|759|22.0
Gournay-sur-Marne|48.8622|2.5845|2035|22.0
Ellenabad|29.4528|74.6612|1556|22.0
Northern Liberties|39.9659|-75.1463|1044|22.0
Porrentruy|47.4173|7.0757|1937|22.0
Galébré|6.0059|-6.2940|1135|22.0
Irthlingborough|52.3267|-0.6113|2034|22.0
Asseln|51.5283|7.5891|1857|22.0
Iztapalapa|19.3553|-99.0622|597|22.0
Catió|11.2825|-15.2547|1187|22.0
Kokhma|56.9321|41.0947|2315|22.0
Liverpool|53.4106|-2.9779|2070|22.0
Piedmont|35.6420|-97.7464|1300|22.0
Sunggal|3.5765|98.6151|161|22.0
Nenagh|52.8628|-8.1995|2249|22.0
San Vicente|9.1154|-79.5993|754|22.0
Coatzacoalcos|18.1490|-94.4447|725|22.0
Kébémer|15.3650|-16.4339|1438|22.0
Mīlē|11.4217|40.7628|791|22.0
El Pueblito|18.8864|-96.9695|662|22.0
Woodlawn|38.9496|-76.8914|1079|22.0
Tizapán el Alto|20.1594|-103.0447|461|22.0
Marechal Floriano|-20.4128|-40.6831|245|22.0
Polasara|19.6939|84.8140|1069|22.0
Oktyabrsky|54.4815|53.4710|2275|22.0
Oxapampa|-10.5775|-75.4017|-350|22.0
Britwell|51.5358|-0.6277|2058|22.0
Osio Sotto|45.6161|9.5891|1899|22.0
Yangliuqing|39.1375|116.9997|150|22.0
Kolitzheim|49.9167|10.2333|1831|22.0
University|43.6625|-79.4012|1028|22.0
Mapinga|-6.6000|39.0667|687|22.0
Coronel|-37.0339|-73.1402|-350|22.0
Bisbee|31.4481|-109.9284|831|22.0
Gur’yevsk|54.2841|85.9481|902|22.0
Saryozek|44.3618|77.9728|1593|22.0
Szczytno|53.5626|20.9875|1836|22.0
Pound Ridge|41.2087|-73.5748|1017|22.0
Eséka|3.6500|10.7667|1445|22.0
Clarksburg|39.2807|-80.3445|1123|22.0
Libertad|8.2500|124.2333|-350|22.0
Sterrebeek|50.8617|4.4938|1935|22.0
Rivera|-30.9053|-55.5508|-350|22.0
Hongch’ŏn|37.6918|127.8857|192|22.0
Cambira|-23.6008|-51.5803|-119|22.0
Storozhynets|48.1594|25.7214|1773|22.0
Dobreşti|46.8500|22.3000|1726|22.0
Konédougou|6.0399|-6.6658|1124|22.0
Blainville|45.6668|-73.8825|978|22.0
Ponferrada|42.5466|-6.5962|2486|22.0
Fray Luis A. Beltrán|-32.7912|-60.7282|-350|22.0
Sundsvall|62.3913|17.3063|1928|22.0
Needham|42.2834|-71.2328|1004|22.0
Jahāngīrpur|28.1792|77.7050|1482|22.0
Jindayris|36.3950|36.6889|1490|22.0
Zunil|14.7846|-91.4835|642|22.0
Pharihā|27.3217|78.4727|1443|22.0
Belyy Yar|58.4426|85.0452|818|22.0
Bukit Mertajam|5.3630|100.4667|250|22.0
Sheptytskyi|50.3940|24.2394|1810|22.0
Happy Valley|45.4468|-122.5304|947|22.0
Kurseong|26.8825|88.2773|1215|22.0
Barranco|-12.1430|-77.0186|-350|22.0
Belonia|23.2518|91.4541|1053|22.0
Petitgoa I|6.1202|-6.7125|1128|22.0
Archena|38.1163|-1.3004|2403|22.0
Naujininkai|54.6643|25.2842|1936|22.0
Rengasdengklok|-6.1592|107.2981|-350|22.0
Choiseul|13.7727|-61.0493|960|22.0
Kyzburun Pervyy|43.6517|43.3950|1910|22.0
Altach|47.3544|9.6521|1873|22.0
Santa Maria da Serra|-22.5672|-48.1606|49|22.0
Nieuwerkerk aan den IJssel|51.9683|4.6097|1909|22.0
Kokrajhar|26.4011|90.2729|1140|22.0
Hehua|24.9702|98.3937|792|22.0
Pihuamo|19.2499|-103.3828|382|22.0
Oddanchathiram|10.4801|77.7498|433|22.0
Pabradė|54.9810|25.7610|1954|22.0
Schwaikheim|48.8773|9.3496|1859|22.0
Tilff|50.5643|5.5764|1915|22.0
Malango|-9.6952|159.7173|-350|22.0
Lujiao|29.1344|108.2852|292|22.0
Laguna Beach|33.5423|-117.7831|597|22.0
San Jerónimo de Juárez|17.1392|-100.4707|380|22.0
La Aguada|11.2767|-67.4644|998|22.0
Rasrā|25.8576|83.8549|1312|22.0
Ngã Bảy|9.8137|105.8210|306|22.0
Emporia|36.6860|-77.5425|1123|22.0
Defiance|41.2845|-84.3558|1147|22.0
Lagos|37.1020|-8.6742|2572|22.0
Moscardó|40.3890|-3.7068|2441|22.0
Allendale|41.0415|-74.1290|1022|22.0
Kasulu|-4.5767|30.1025|1000|22.0
Contagem|-19.9317|-44.0536|234|22.0
Itapiranga|-27.1694|-53.7122|-350|22.0
St Helens|53.4500|-2.7333|2061|22.0
Longtanzi|29.5008|105.7972|406|22.0
Suthālia|23.9955|77.1395|1305|22.0
Mallemort|43.7317|5.1795|2071|22.0
Ibirajuba|-8.5806|-36.1794|340|22.0
Ipuiúna|-22.0989|-46.1897|120|22.0
Chakradharpur|22.6761|85.6289|1179|22.0
Thanhlyin|16.7819|96.2468|765|22.0
Ksar El Kebir|35.0004|-5.9038|2527|22.0
Depok|-7.7625|110.4317|-350|22.0
Gyeongsan-si|35.8233|128.7378|122|22.0
Shawmont|40.0529|-75.2360|1044|22.0
Longueuil|45.5152|-73.4682|980|22.0
Remiremont|48.0175|6.5882|1939|22.0
Annabichl|46.6500|14.3167|1786|22.0
Renwāl|27.1577|75.3581|1458|22.0
Bragadiru|44.3711|25.9775|1685|22.0
Samapleu|7.7616|-7.9378|1207|22.0
Uacu Cungo|-11.3567|15.1172|514|22.0
Qiqihar|47.3392|123.9615|523|22.0
Montorio al Vomano|42.5812|13.6372|1828|22.0
Brebu Mânăstirei|45.1833|25.7667|1703|22.0
Baulkham Hills|-33.7588|150.9929|-350|22.0
Rialto|34.1064|-117.3703|647|22.0
Kalk|50.9401|7.0061|1877|22.0
Mount Darwin|-16.7725|31.5838|455|22.0
Kousséri|12.0769|15.0306|1801|22.0
Çolaklı|36.8374|31.3184|1501|22.0
Lindi|-9.9971|39.7165|598|22.0
Kąty Wrocławskie|51.0310|16.7677|1773|22.0
Georgetown|-7.9286|-14.4119|48|22.0
Kibuye|-2.0603|29.3478|1094|22.0
Riacho de Santana|-13.6092|-42.9389|392|22.0
Mansôa|12.0733|-15.3189|1243|22.0
Aïn Oussera|35.4514|2.9058|2303|22.0
Alpestre|-27.2489|-53.0350|-350|22.0
Putla Villa de Guerrero|17.0262|-97.9284|496|22.0
Valdés|36.7584|-4.2424|2494|22.0
Kusŏng-si|39.9797|125.2529|244|22.0
Copşa Mică|46.1167|24.2500|1717|22.0
Bánovce nad Bebravou|48.7213|18.2575|1752|22.0
De Heeg|50.8245|5.7231|1907|22.0
Newtown|52.5167|-3.3000|2108|22.0
Makhdumpur|25.0657|84.9725|1266|22.0
Kyōtamba|35.1644|135.4230|243|22.0
Krim Krim|8.9723|15.8036|1696|22.0
Al Hufūf|25.3647|49.5876|1064|22.0
Aznā|33.4564|49.4565|1506|22.0
Pechenizhyn|48.5167|24.8832|1773|22.0
Edogawe|35.6923|139.8731|401|22.0
Coedpoeth|53.0539|-3.0623|2084|22.0
Ribeirão|41.3608|-8.5677|2551|22.0
Sirsia|24.2120|86.3131|1214|22.0
Bungu|-7.6337|39.0582|669|22.0
Fort-de-France|14.6037|-61.0742|965|22.0
Cut-cut Primero|15.4828|120.5860|-272|22.0
Malacacheta|-17.8422|-42.0767|303|22.0
Tonggu|28.7817|108.6826|275|22.0
Pukchil-lodongjagu|40.2019|125.7483|262|22.0
New City|41.8075|-87.6564|1189|22.0
Port-Gentil|-0.7193|8.7815|1118|22.0
Vinohrady|49.2066|16.6632|1762|22.0
Tábua|40.3621|-8.0294|2550|22.0
Frankford|40.0138|-75.0786|1043|22.0
Wuli|29.3588|108.8754|265|22.0
Koungheul|13.9833|-14.8000|1403|22.0
Újpest|47.5686|19.0846|1740|22.0
Göteborg|57.7072|11.9668|1795|22.0
Kampong Gunong|5.7167|101.7500|253|22.0
Frýdlant nad Ostravicí|49.5928|18.3597|1760|22.0
Petroşani|45.4167|23.3667|1703|22.0
Rodeiro|-21.2000|-42.8650|208|22.0
Pontasserchio|43.7795|10.4167|1903|22.0
Uzhur|55.3175|89.8313|718|22.0
Mojo|8.5868|39.1211|837|22.0
Perechyn|48.7349|22.4772|1759|22.0
Chīma|30.6854|76.0864|1585|22.0
Cofradía de Juárez|18.9626|-103.9555|334|22.0
Aného|6.2280|1.5919|1418|22.0
Allipura|13.4885|77.4586|650|22.0
Radishani|42.0611|21.4478|1674|22.0
Emerson Hill|40.6087|-74.0960|1027|22.0
Onil|38.6261|-0.6731|2376|22.0
Fernie|49.5000|-115.0687|1218|22.0
Warwick Farm|-33.9129|150.9370|-350|22.0
Nova Prata|-28.7839|-51.6100|-350|22.0
Rouvroy|50.3925|2.9040|1987|22.0
Vila Viçosa|38.7777|-7.4179|2549|22.0
Maposeni|-10.5833|35.4000|696|22.0
San Andrés Villa Seca|14.5780|-91.5854|625|22.0
Jīnd|29.3158|76.3150|1537|22.0
Kannur|11.8675|75.3576|498|22.0
Saynshand|44.8824|110.1163|304|22.0
Bhusawal|21.0436|75.7851|1136|22.0
Pascoe Vale|-37.7333|144.9333|-350|22.0
Isyangulovo|52.1893|56.5868|2227|22.0
Khamānon Kalān|30.8173|76.3548|1585|22.0
Jaynagar Majilpur|22.1752|88.4201|1109|22.0
Chinnūr|18.8578|79.7956|1031|22.0
Mount Evelyn|-37.7833|145.3833|-350|22.0
Ortigueira|-24.2083|-50.9494|-128|22.0
Severomorsk|69.0694|33.4081|2339|22.0
Makuyuni|-3.5500|36.1000|852|22.0
Cuichapa|17.9389|-94.2800|720|22.0
Akaiwa|36.2074|139.4395|416|22.0
Longkong|30.0448|107.9149|305|22.0
Marilândia do Sul|-23.7447|-51.3078|-116|22.0
E’erguna|50.2236|120.1709|545|22.0
Ołbin|51.1213|17.0530|1773|22.0
West Haven|45.5176|-122.7695|941|22.0
Villiers-sur-Marne|48.8310|2.5484|2036|22.0
Chengappalli|11.1989|77.4231|481|22.0
Maunula|60.2287|24.9308|2070|22.0
Loacan|16.5500|120.6667|-269|22.0
Pirambu|-10.7378|-36.8561|340|22.0
West Lynchburg|37.4032|-79.1781|1137|22.0
Languyan|5.2618|120.0807|-314|22.0
Arzano|40.9096|14.2652|1827|22.0
Idkū|31.3073|30.2981|1400|22.0
Yuza|39.0157|139.9291|575|22.0
Ardatov|55.2392|43.0956|2302|22.0
Lastoursville|-0.8174|12.7082|1197|22.0
La Puebla del Río|37.2679|-6.0626|2530|22.0
Hopkinton|43.1915|-71.6753|999|22.0
Piancó|-7.1981|-37.9292|386|22.0
Cheswolde|39.3640|-76.6891|1070|22.0
Sigayevo|56.4216|53.7757|2260|22.0
Roskilde|55.6415|12.0803|1790|22.0
Edinboro|41.8742|-80.1317|1071|22.0
Devarshola|11.5437|76.4404|491|22.0
Naraura|28.2015|78.3872|1475|22.0
Tijuana|32.5027|-117.0037|574|22.0
Long Mỹ|9.6814|105.5723|311|22.0
Cherrapunjee|25.3009|91.6962|1075|22.0
Circleville|39.6006|-82.9460|1158|22.0
Zorneding|48.0843|11.8245|1820|22.0
Cherokee|42.7494|-95.5517|1280|22.0
Ruidian|25.5317|98.4086|792|22.0
Muravlenko|63.7898|74.5230|1084|22.0
Sharon|41.2331|-80.4934|1088|22.0
Rijswijk|52.0363|4.3250|1914|22.0
Fālākāta|26.5196|89.2042|1179|22.0
Saint-Jean-de-Luz|43.3887|-1.6627|2316|22.0
Monroe|33.7948|-83.7132|1255|22.0
Lindsdal|56.7333|16.3000|1826|22.0
Casselberry|28.6778|-81.3278|1252|22.0
Albert Park/Radisson Heights|51.0429|-113.9958|1228|22.0
Marquelia|16.5833|-98.8169|422|22.0
Arceburgo|-21.3642|-46.9400|133|22.0
Puttankulam|8.8138|76.7179|291|22.0
Taluksangay|6.9542|122.1839|-350|22.0
Blundell|49.1553|-123.1571|1034|22.0
Bolintin Vale|44.4489|25.7578|1687|22.0
Canberra City|-35.2812|149.1293|-350|22.0
Hamilton|34.1423|-87.9886|1296|22.0
Irun|43.3390|-1.7894|2322|22.0
Huicheng|23.0385|116.2899|-54|22.0
Kamyanka|48.0279|25.8996|1771|22.0
Kānor|24.4344|74.2655|1322|22.0
Żuromin|53.0661|19.9089|1814|22.0
Chota|-6.5500|-78.6500|-264|22.0
Svetlogorsk|52.6329|29.7389|1971|22.0
Mihail Kogălniceanu|44.3680|28.4600|1698|22.0
Zemun|44.8458|20.4012|1708|22.0
Harelbeke|50.8534|3.3093|1965|22.0
Almendares|23.1101|-82.4232|1208|22.0
Belmopan|17.2538|-88.7640|888|22.0
Oak Park|-37.7184|144.9195|-350|22.0
Spring Creek|40.7266|-115.5859|1027|22.0
St. Johns|30.0815|-81.5477|1252|22.0
Yartsevo|55.0649|32.6969|2115|22.0
Panjāb|34.3879|67.0233|1777|22.0
Seattle|47.6062|-122.3321|1020|22.0
Bhīm Tāl|29.3445|79.5634|1491|22.0
Bilychi|50.4654|30.3465|1913|22.0
Casco Histórico de Vallecas|40.3485|-3.6162|2439|22.0
Villabé|48.5895|2.4510|2046|22.0
Venustiano Carranza|16.1902|-91.9275|711|22.0
Diavatá|40.6874|22.8580|1643|22.0
Emmendingen|48.1210|7.8536|1904|22.0
Saint-Pierre-du-Mont|43.8845|-0.5219|2266|22.0
Danvers|42.5751|-70.9300|1004|22.0
Alvand|36.3188|49.1677|1658|22.0
Vĩnh Thạnh|10.2226|105.3984|329|22.0
Tānsen|27.8666|83.5459|1369|22.0
Castellar del Vallès|41.6167|2.0833|2227|22.0
Santa Monica|15.3577|120.7201|-279|22.0
Arnstadt|50.8405|10.9520|1812|22.0
Dortmund|51.5149|7.4660|1859|22.0
Superior|39.9528|-105.1686|1270|22.0
Ampthill|52.0269|-0.4957|2040|22.0
Lembeek|50.7157|4.2183|1945|22.0
Shāhābād|17.1307|76.9436|897|22.0
Saboeiro|-6.5419|-39.9067|432|22.0
Druzhba|41.2222|61.3067|2019|22.0
Ajuy|11.1724|123.0197|-350|22.0
Iligan City|8.2500|124.4000|-350|22.0
Ahlat|38.7489|42.4801|1662|22.0
Ciudad Universitaria|40.4560|-3.7384|2441|22.0
Jerécuaro|20.1547|-100.5086|582|22.0
Tongyeong|34.8496|128.4278|72|22.0
Manazuru|35.1531|139.1391|349|22.0
Rāzām|18.4491|83.6596|1013|22.0
Orocovis|18.2269|-66.3910|1059|22.0
Hulan|45.8933|126.5784|528|22.0
Popeşti|47.2333|22.4167|1732|22.0
Areeiro|38.7410|-9.1380|2579|22.0
Ban I Let|10.3824|99.2366|487|22.0
Lajeado|-23.5336|-46.4087|54|22.0
Manhuaçu|-20.2581|-42.0336|243|22.0
La Unión|-40.2931|-73.0817|-350|22.0
Kirsanov|52.6509|42.7348|2236|22.0
Ilkeston|52.9706|-1.3095|2035|22.0
Pūvalūr|10.8986|78.8303|481|22.0
Waldmünchen|49.3780|12.7090|1798|22.0
Natona|22.0513|90.0320|1067|22.0
Caicara|9.8176|-63.6133|954|22.0
Czersk|53.7959|17.9765|1806|22.0
Tarrafal|15.2788|-23.7519|1141|22.0
Balneário Gaivota|-29.1567|-49.5794|-342|22.0
Tori-Bossito|6.5030|2.1441|1452|22.0
Vikhorevka|56.1213|101.1777|482|22.0
Tábor|49.4144|14.6578|1776|22.0
Merchtem|50.9513|4.2320|1940|22.0
Port Jefferson Station|40.9254|-73.0473|1017|22.0
Pará de Minas|-19.8603|-44.6083|229|22.0
Corinto|3.1730|-76.2627|530|22.0
Huacho|-11.1172|-77.6058|-350|22.0
Pader|3.0500|33.2167|1065|22.0
Terrytown|29.9102|-90.0326|1280|22.0
Mugardos|43.4604|-8.2551|2513|22.0
Katakai|35.5333|140.4500|410|22.0
Ratchaburi|13.5367|99.8171|579|22.0
Izhevsk|56.8522|53.1986|2268|22.0
Jinzhou|39.1000|121.7167|162|22.0
Rayevskiy|54.0640|54.9338|2252|22.0
Rameswaram|9.2885|79.3127|368|22.0
Egelsbach|49.9679|8.6634|1858|22.0
Lumbang|14.2973|121.4598|-317|22.0
Skwierzyna|52.5991|15.5065|1783|22.0
Redhill|51.2405|-0.1704|2053|22.0
Guajará Mirim|-10.7836|-65.3355|86|22.0
Freystadt|49.2001|11.3303|1819|22.0
Nairobi|-1.2833|36.8167|858|22.0
Mandāwar|29.4866|78.1273|1519|22.0
Marcq-en-Barœul|50.6667|3.0833|1976|22.0
Vista Hermosa|19.5162|-99.2233|600|22.0
Mar de Espanha|-21.8672|-43.0097|185|22.0
Chitkul|17.5587|78.2226|939|22.0
Montanaro|45.2327|7.8549|1955|22.0
Nova Veneza|-28.6367|-49.4978|-309|22.0
Foum Zguid|30.0879|-6.8712|2472|22.0
An Naşr|31.2814|34.3025|1335|22.0
Cranford|51.4770|-0.4134|2053|22.0
Pavones|40.3985|-3.6321|2439|22.0
Adichānallūr|8.8805|76.7156|296|22.0
Breaza|45.1833|25.6667|1702|22.0
New Delhi|28.6214|77.2148|1503|22.0
Project 6|14.6591|121.0395|-296|22.0
Morrumbala|-17.3269|35.5842|430|22.0
Zhongyi|30.0945|108.3309|287|22.0
Ashtead|51.3087|-0.2997|2055|22.0
Petaluma|38.2324|-122.6367|630|22.0
El Affroun|36.4701|2.6253|2300|22.0
Cantagallo|7.3793|-73.9155|820|22.0
Tunceli|39.0992|39.5435|1631|22.0
Chanderi|24.7131|78.1381|1338|22.0
Los Altos Hills|37.3797|-122.1375|608|22.0
Trail|49.0998|-117.7022|1172|22.0
Carate Brianza|45.6757|9.2372|1908|22.0
Atotonilco el Alto|20.5508|-102.5082|513|22.0
Batemans Bay|-35.7066|150.1754|-350|22.0
Payakaraopeta|17.3678|82.5683|954|22.0
Kitale|1.0157|35.0062|964|22.0
Carloforte|39.1408|8.3039|2050|22.0
Pasir Ris New Town|1.3722|103.9478|22|22.0
Xiuqi|31.8774|108.7816|263|22.0
El Campo|29.1966|-96.2697|1183|22.0
Galaosiyo Shahri|39.8572|64.4464|1967|22.0
Mata Verde|-15.6864|-40.7411|342|22.0
Košíře|50.0671|14.3633|1779|22.0
Indianola|33.4509|-90.6551|1308|22.0
Seririt|-8.1928|114.9388|-350|22.0
Ifanadiana|-21.3000|47.6333|109|22.0
Cornebarrieu|43.6497|1.3259|2207|22.0
Oceanport|40.3182|-74.0151|1030|22.0
Johnstown|43.0067|-74.3676|1002|22.0
Gesves|50.4015|5.0746|1930|22.0
Orem|40.2969|-111.6946|1136|22.0
Siddharthanagar|27.5000|83.4500|1363|22.0
Rangia|26.4493|91.6136|1090|22.0
Krasnoarmeyskoye|52.7199|50.0312|2289|22.0
San Rafael Oriente|13.3833|-88.3500|685|22.0
Husainpur|31.3118|75.3217|1614|22.0
Kamifukuoka|35.8727|139.5137|400|22.0
Guhua|28.8900|107.3357|337|22.0
Sankt Georgen im Schwarzwald|48.1272|8.3351|1893|22.0
Znamenka|52.8979|35.9770|2119|22.0
Revin|49.9404|4.6350|1951|22.0
Kidarakulam|8.5669|76.9913|277|22.0
Osinovo|55.8809|48.8810|2323|22.0
Kampong Lambak A|4.9661|114.9430|-109|22.0
Beni|0.4911|29.4731|1156|22.0
Kākarāti|24.5639|80.2659|1318|22.0
Bad Kissingen|50.2023|10.0778|1830|22.0
Dead Sea Shore|31.5590|35.4732|-430|50.0
Ngou|5.1969|10.3859|1531|22.0
Clinton|35.5156|-98.9673|1286|22.0
Kuala Selangor|3.3500|101.2500|141|22.0
Głogów Małopolski|50.1512|21.9629|1781|22.0
Meyzieu|45.7664|5.0028|2033|22.0
Nakhon Luang|14.4628|100.6083|580|22.0
Abū Kabīr|30.7251|31.6715|1364|22.0
San Narciso|13.5677|122.5667|-350|22.0
Sofifi|0.7373|127.5588|-350|22.0
Arçman|38.5435|57.1571|1900|22.0
Chelsea|42.3181|-84.0218|1119|22.0
Yanahuanca|-10.5167|-76.4986|-350|22.0
Souq at Tlata des Loulad|32.9947|-7.1198|2525|22.0
Sirugamani|10.8950|78.5301|476|22.0
Candeias do Jamari|-8.8097|-63.6956|271|22.0
Cacalchen|20.9836|-89.2269|1048|22.0
Kalamata|37.0391|22.1126|1633|22.0
Wellington Point|-27.4833|153.2500|-350|22.0
Chudei|48.0510|25.6221|1769|22.0
Sukkur|27.7032|68.8589|1466|22.0
Satu Mare|47.7993|22.8625|1743|22.0
Doña Mencía|37.5535|-4.3560|2492|22.0
Saint Leonards-on-Sea|50.8556|0.5452|2043|22.0
Güines|22.8373|-82.0264|1205|22.0
Mīnāb|27.1310|57.0872|1260|22.0
Arlington|42.4154|-71.1564|1004|22.0
Nzianouan|6.0116|-4.8213|1189|22.0
Tosashimizu|32.7840|132.9632|56|22.0
Bidart|43.4370|-1.5929|2313|22.0
Staraya Stanitsa|45.0098|41.1512|1925|22.0
Izola|45.5366|13.6601|1804|22.0
Amanalco de Becerra|19.3167|-100.0167|550|22.0
Pilar|40.4771|-3.7096|2440|22.0
São Roque|40.8722|-8.4715|2554|22.0
Ipilan|8.8431|117.9033|-186|22.0
Luhačovice|49.0998|17.7575|1757|22.0
Çine|37.6127|28.0591|1541|22.0
Tangancícuaro de Arista|19.8868|-102.2072|483|22.0
Guiseley|53.8756|-1.7123|2019|22.0
Zhaodun|34.3027|117.8570|33|22.0
Hingoli|19.7146|77.1424|1065|22.0
Holbrook|42.1551|-71.0087|1005|22.0
Oak Hill|37.9723|-81.1487|1159|22.0
Blyth|55.1271|-1.5086|1976|22.0
La Peñita de Jaltomba|21.0388|-105.2479|413|22.0
Laman Permai|3.1737|101.5420|130|22.0
João Pessoa|-7.1150|-34.8631|320|22.0
Paranaiguara|-18.9158|-50.6539|148|22.0
Wa|10.0607|-2.5019|1566|22.0
Seaham|54.8390|-1.3458|1980|22.0
Arteaga|25.4453|-100.8467|883|22.0
Tammela|60.8103|23.7682|2055|22.0
Port Jefferson|40.9465|-73.0693|1017|22.0
Taksony|47.3297|19.0669|1738|22.0
Cleveland|41.4995|-81.6954|1101|22.0
Lusikisiki|-31.3620|29.5733|-350|22.0
Bédiala|7.1601|-6.3064|1222|22.0
Bandar Baru Salak Tinggi|2.8123|101.7356|110|22.0
Socorro|13.0669|121.3986|-321|22.0
Puerto Escondido (Tepeolulco Puerto Escondido)|19.5519|-99.0981|608|22.0
Houhai|22.5123|113.9255|46|22.0
Kirchheim unter Teck|48.6468|9.4538|1860|22.0
Harsewinkel|51.9622|8.2277|1840|22.0
Dobre Miasto|53.9867|20.3975|1836|22.0
Pasadena Hills|28.2800|-82.2244|1259|22.0
Nakasato|40.9695|140.4386|680|22.0
Teslić|44.6064|17.8597|1734|22.0
Ipinda|-9.4833|33.9000|762|22.0
Bogandé|12.9771|-0.1466|1818|22.0
Sampaloc|14.5402|121.3602|-311|22.0
Csurgó|46.2531|17.1006|1748|22.0
Youssoufia|32.2463|-8.5294|2519|22.0
Morombe|-21.7450|43.3606|184|22.0
Rajgamar|22.3820|82.8330|1204|22.0
Três Lagoas|-20.7876|-51.7034|25|22.0
Guánica|17.9716|-66.9079|1066|22.0
Kadriye|36.8865|31.0061|1504|22.0
Altstadt|47.6606|9.1735|1880|22.0
